productId,Savings$,Sale_price$,Orig_price$,Item,description,productCategory,customerRating,numReviews,brand,initialQuantity,quantity,standardUpc,imageUrl
4I2AREZL032T,1000,5497.99,6497.99,"SAMSUNG 75" Class the Terrace Outdoor QLED 4K Smart TV with HDR QN75LST7TA","SAMQN75LST7TAQN75LST7TA 75" The Terrace QLED 4K UHD HDR Smart TvRemote Control BatteryPower CableUser ManualE-ManualIncludes Samsung Authorized USA",Televisions,4.7,75,SAMSUNG,38,38,00887276421377,https://i5.walmartimages.com/asr/1b3faf8d-7152-4c36-9bb0-6e5dda120efc.f540924e977e779fc3e7b3003bacd3bc.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
2JBPZG4MPXUG,702,1297.99,1999.99,"SAMSUNG 43" Class 4K UHD (2160p) The Sero HDR Smart QLED TV QN43LS05TA 2020","SAMQN43LS05TAThe Frame 3.0 QLED Smart 4K UHD TV (2020 Model)The Frame Standard Smart Remote (TM2050A - White)Remote Control BatteryPower CableUser Manual",Televisions,4.5,62,SAMSUNG,63,63,00887276411507,https://i5.walmartimages.com/asr/85bf7f3d-040d-4046-a966-9b1b1fb443f1.d461f287afd2ff62ed406105f38f995a.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
28SLRV28A8NG,700,4297.99,4997.99,"SAMSUNG 65" Class the Terrace Outdoor QLED 4K Smart TV with HDR QN65LST7TAFXZA 2020","Outdoor-optimized QLED pictureHigh-quality 4K QLED picture engineered to look incredibly vivid and bright especially in daylightIP55 rated weather-resistant durability",Televisions,4.7,76,SAMSUNG,41,41,00887276421360,https://i5.walmartimages.com/asr/7b957fbc-06c2-4852-a2a4-b66ee1a4fed8.2a4b6d27d2956bb34863af0d6b7f84d6.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
4ELVKIGZ3KS1,657.47,1314.95,1972.42,"Apple iPad Pro 12.9 (2021) Wifi","Apple 12.9-inch iPad Pro (2021) Wi-Fi 128GB - Space Gray","Tablet Computers",4.7,27,Apple,1,1,00194252194805,https://i5.walmartimages.com/asr/fc75a562-c0c2-468b-9e74-3e49d9aa1b85.ba1872fcf55df8fcb81e8e4a7788a3ef.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
1XL2HAQP0J1T,657.47,1314.95,1972.42,"Apple 11-inch iPad Pro (2018) Wi-Fi + Cellular","11" edge-to-edge Liquid Retina display with ProMotion, True Tone, and wide color*A12X Bionic chip with Neural EngineFace ID for secure authentication and Apple Pay","Tablet Computers",4.7,550,Apple,1,1,00190198878175,https://i5.walmartimages.com/asr/a3aeaca7-0fe5-4722-b70a-e31cb6c967de_1.d0a3b94193e874080cc8ec3058124426.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
6L9DL6JEGAHS,603,2096.99,2699.99,"LG 65" Class 4K UHD Smart OLED C1 Series TV with AI ThinQ OLED65C1PUB","We aim to show you accurate product information.Manufacturers, suppliers and others provide what you see here, and we have not verified it.See our disclaimer",Televisions,4.8,109,LG,311,311,00195174006047,https://i5.walmartimages.com/asr/89423986-7678-471d-9b08-f7aa4569f6f3.27b8f54d62fc40f47b5e6b1cea4f4d1a.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
125NU0TJLEB8,503,1496.99,1999.99,"LG 55" Class 4K UHD Smart OLED C1 Series TV with AI ThinQ OLED55C1PUB","What makes OLED unlike anything else?The answer is self-lit pixels. A self-luminous display technology that makes all the difference to your viewing experience. Unlike LED TVs that are restricted by",Televisions,4.8,111,LG,560,560,00195174006016,https://i5.walmartimages.com/asr/89423986-7678-471d-9b08-f7aa4569f6f3.27b8f54d62fc40f47b5e6b1cea4f4d1a.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
40OSKUPVKCP2,501.96,1197.99,1699.95,"SAMSUNG 50" Class 4K (2160P) The Frame QLED Smart TV QN50LS03 2021","Art Mode The Frame transforms into a beautiful work of art when you're not watching TVArt Store Buy individual pieces or subscribe to a library with over 1,400 artists' work100%",Televisions,4.6,260,SAMSUNG,653,653,00887276522579,https://i5.walmartimages.com/asr/cdfd2d1c-9977-4dbd-9a2f-0b6d7a6725f5.77aa2ff621514494ed687b396ae9a44c.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
3B3QCV7XW36F,495.87,899.99,1395.86,"Dell UltraSharp U3421WE - LED monitor - curved - 34.1" (34.1" viewable) - 3440 x 1440 WQHD @ 60 Hz - IPS - 300 cd/m - 1000:1 - 5 ms - 2xHDMI, DisplayPort, USB-C - speakers - with 3 years Advanced Exchange Basic Warranty",Dell,"Computer Monitors",0,0,Dell,0,0,00884116381174,https://i5.walmartimages.com/asr/43838e76-6ad4-4dee-97fa-6b94a8574333.759224c9719b807167592d3fc2b9e07d.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
2DT5KLPLZHX7,407,208,615,"Microsoft Visio Professional 2019","Teams can create, collaborate and share data-linked diagrams easily with ready-made templates and thousands of shapes, helping to simplify complex information. Quickly overlay data on top of your","Computer Software",0,0,Microsoft,34,34,00889842336238,https://i5.walmartimages.com/asr/924b28d6-a65b-445c-b707-699e223d82ac_1.8e42c9cf3f92df12505898fb6c625f61.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
